filename,FastGDP Primitive Detection,geosolver Primitive Detection,FastGDP Point Detection,geosolver Point Detection
000.png,0.055052661895751955,2.3640789031982425,0.09215350151062011,2.247189664840698
001.png,0.058842325210571284,1.9170735359191893,0.1077122211456299,1.9785085678100587
002.png,0.14421443939208983,1.1876244068145752,0.18749852180480958,1.188421058654785
003.png,0.046076726913452146,1.2899507522583007,0.08277883529663085,1.2712000846862792
004.png,0.060837316513061526,0.463161563873291,0.09733967781066895,0.44800181388854976
005.png,0.05465455055236816,1.0930771827697754,0.10432119369506836,1.084100818634033
006.png,0.09853601455688477,0.3249312400817871,0.11429433822631835,0.3476698398590088
007.png,0.04128923416137695,1.5235262870788573,0.07160844802856445,1.4724617004394531
008.png,0.0572472095489502,1.811356782913208,0.09694080352783202,1.7752517700195312
009.png,0.05166182518005371,0.6694100856781007,0.09773869514465332,0.6779866218566895
010.png,0.04328417778015137,0.893211555480957,0.08317770957946777,0.878450345993042
011.png,0.06861681938171386,1.9344275951385494,0.09973320960998536,1.968534803390503
012.png,0.041289329528808594,2.9359497547149656,0.33650021553039555,2.9215858936309815
013.png,0.05824422836303711,1.4511197090148924,0.1111030101776123,1.3956671714782716
014.png,0.09155511856079102,0.6919496059417725,0.11848320960998535,0.6630267143249511
015.png,0.07101016044616698,5.27968258857727,0.13304429054260253,5.367245006561279
016.png,0.05265922546386718,1.8516490936279295,0.26628813743591306,1.8203312397003175
017.png,0.042885351181030276,1.4620907306671143,0.08118290901184083,1.4098294734954835
018.png,0.022739171981811523,0.7479997634887695,0.052061033248901364,0.7675471782684326
019.png,0.057446384429931635,1.9531776905059814,0.2046525478363037,1.9162744998931882
020.png,0.040092849731445314,1.1184092998504638,0.08377609252929688,1.1311743259429932
021.png,0.06003928184509277,1.5025824546813964,0.21801719665527344,1.5241236686706543
022.png,0.021342992782592773,2.973050546646118,0.05704760551452637,2.847783517837524
023.png,0.05325756072998047,3.9284956455230713,0.08656849861145019,3.9266976356506347
025.png,0.061635351181030265,2.2621514320373537,0.1904906749725342,2.2447962760925293
026.png,0.10611653327941893,2.9144071578979496,0.15698022842407225,2.924178981781006
027.png,0.04527902603149414,2.932957506179809,0.09335055351257324,2.8412009716033935
028.png,0.14760532379150393,2.2966591835021974,0.42326812744140624,2.3181995391845702
029.png,0.02573108673095703,2.1201311111450196,0.06343059539794922,2.162815237045288
030.png,0.08896217346191407,1.0581706523895262,0.15199346542358397,1.0966663837432862
031.png,0.05744662284851074,2.125117540359497,0.09634227752685548,2.2463919162750243
032.png,0.053855705261230465,0.7286515235900879,0.09853668212890626,0.7777199268341065
033.png,0.16216654777526857,2.376844549179077,0.22160730361938477,2.4861505508422854
034.png,0.14561023712158203,1.820133113861084,0.19228577613830566,1.9043065547943117
035.png,0.061236429214477535,2.9323592662811278,0.10571746826171875,2.9917986392974854
036.png,0.04847059249877929,0.7719359397888184,0.090557861328125,0.8581046104431151
037.png,0.0953451156616211,1.9324329853057862,0.15338993072509766,2.0744516372680666
038.png,0.1288553237915039,2.155636262893677,0.19268479347229006,2.1755813121795655
039.png,0.10392203330993652,0.8664830684661866,0.16396164894104004,0.9285167217254637
040.png,0.08716697692871093,1.2967326641082764,0.1721395969390869,1.3825023651123047
041.png,0.07340402603149414,0.9388895034790039,0.13104944229125975,1.0773187160491944
042.png,0.0664219856262207,2.16281681060791,0.13224663734436035,2.1484536647796633
043.png,0.031116867065429685,1.0005245685577393,0.06761908531188965,1.0077046394348144
044.png,0.04408206939697266,0.5595040798187255,0.0789888858795166,0.6131600379943848
045.png,0.06143608093261719,0.539756679534912,0.11569070816040039,0.5612986087799072
046.png,0.0404914379119873,0.5700757026672364,0.07440066337585449,0.6043836116790772
047.png,0.033311367034912116,0.01874995231628418,0.06542539596557617,0.03510627746582031
048.png,0.04128942489624023,0.37160639762878417,0.07360329627990722,0.3949435710906982
049.png,0.012566518783569337,0.28264412879943845,0.14640865325927735,0.3071784019470215
050.png,0.04986648559570313,0.7334388732910156,0.10192723274230957,0.7663502216339112
051.png,0.023935747146606443,0.9133576869964599,0.29082250595092773,0.9516546249389648
052.png,0.0530580997467041,0.1683500289916992,0.12127609252929687,0.19328298568725588
053.png,0.07021231651306152,0.16455988883972167,0.15239224433898924,0.18011832237243652
054.png,0.0458773136138916,0.2058495044708252,0.08776535987854003,0.23277726173400878
055.png,0.04368314743041993,3.9247058391571046,0.18191375732421874,4.021643733978271
056.png,0.040292358398437506,0.39274983406066893,0.08836374282836913,0.41588759422302246
057.png,0.04986672401428222,0.460967493057251,0.09694085121154784,0.5112326622009277
058.png,0.09075717926025391,2.647720527648926,0.14162139892578124,2.690404224395752
059.png,0.03650226593017578,0.36582179069519044,0.07878952026367188,0.3823770999908447
060.png,0.0574460506439209,1.0031179428100587,0.0893608570098877,1.0639543056488037
061.png,0.018949556350708007,0.923730182647705,0.04368319511413574,0.903583288192749
062.png,0.053058242797851554,0.20106210708618164,0.09135603904724121,0.2427505970001221
063.png,0.0716085433959961,0.5656875133514404,0.11150164604187013,0.5214055061340331
064.png,0.015558433532714844,0.060238790512084965,0.03510642051696777,0.06642227172851563
065.png,0.02812495231628418,0.44241700172424314,0.06203413009643555,0.44560813903808594
