metric,FastGDP,geosolver
macro_f1,0.9014141841064919,0.9042353927358846
macro_f1_var,0.024088818842748345,0.02911555152786446
macro_precision,0.9307686757686757,0.8928689686381994
macro_precision_var,0.02330960636778152,0.03877680052487455
macro_recall,0.9068484080022541,0.9464553395322626
macro_recall_var,0.03243658908517483,0.021072943656180534
micro_f1,0.9076305220883534,0.8835443037974683
micro_precision,0.9088471849865952,0.8389423076923077
micro_recall,0.9064171122994652,0.9331550802139037
